country,country_code,nutslevel,nuts2016,regionname,type,year,party_abbreviation,party_english,party_native,partyfacts_id,partyvote,electorate,totalvote,validvote
Spain,ES,3,ES111,A Coruna,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,12619,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,OTHER,NA,NA,NA,8265,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,PODEMOS-EU,NA,NA,NA,77069,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,PODEMOS-IU,NA,NA,NA,0,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,187127,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero Espanol,1338,184178,1087839,620550,613494.00
Spain,ES,3,ES111,A Coruna,Parliament,2019,VOX,Voice,Vox,3218,50325,1087839,620550,613494.00
Spain,ES,3,ES112,Lugo,Parliament,2019,BNG,Galician Nationalist Block,Bloque Nacionalista Galego,1011,12940,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,CS,Citizens -- Party of the Citizenry,Ciudadanos - Partido de la Ciudadania,3217,5811,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,CUP-PR,NA,NA,NA,0,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,EAJ-PNV,NA,NA,NA,0,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,ECP-GUANYEM EL CANVI,NA,NA,NA,0,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,EH BILDU,Basque Country Unite,Euskal Herria Bildu / Reunir Euskal Herria,5668,0,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,ERC-SOBIRANISTES,NA,NA,NA,0,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,JXCAT-JUNTS,Together for Catalonia,Junts per Catalunya,7421,0,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,MAS PAIS-EQUO,NA,NA,NA,0,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,OTHER,NA,NA,NA,2033,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,PODEMOS-EU,NA,NA,NA,16548,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,PODEMOS-IU,NA,NA,NA,0,344446,183141,180145.00
Spain,ES,3,ES112,Lugo,Parliament,2019,PP,People's Alliance-Party / People's Party,Alianza-Partido Popular / Partido Popular,441,68530,344446,183141,180145.00
